Codigo;Denominacion;Costo;U.M Compra;rubro_id;subrubro_id;descripcion
0001;Cristal Float 2 mm Incoloro;29.88;M2;24;75;
0002;Cristal Float 3 mm Incoloro;29.88;M2;24;75;
0003;Cristal Float 4 mm Incoloro;38.13;M2;24;75;
0004;Cristal Float 5 mm Incoloro;49.47;M2;24;75;
0005;Cristal Float 6 mm Incoloro;75.07;M2;24;75;
0006;Cristal Float 8 mm Incoloro;118.37;M2;24;75;
0007;Cristal Float 10 mm Incoloro;128.01;M2;24;75;
0008;Cristal Float 12 mm Incoloro;0.00;M2;24;75;
0009;Cristal Float 15 mm Incoloro;315.77;M2;24;75;
0010;Cristal Float 19 mm Incoloro;737.53;M2;24;75;
0011;Cristal Float Solar-E 2.5 mm Incoloro;0.00;M2;24;77;
0012;Cristal Float Solar-E 3 mm Incoloro;0.00;M2;24;77;
0013;Cristal Float Solar-E 4 mm Incoloro;0.00;M2;24;77;
0014;Cristal Float Solar-E 5 mm Incoloro;0.00;M2;24;77;
0015;Cristal Float Solar-E 6 mm Incoloro;0.00;M2;24;77;
0016;Cristal Float 3 mm Bronce;49.73;M2;24;74;
0017;Cristal Float 3 mm Gris;49.73;M2;24;74;
0018;Cristal Float 4 mm Bronce;62.98;M2;24;74;
0019;Cristal Float 4 mm Gris;62.98;M2;24;74;
0020;Cristal Float 4 mm Verde;0.00;M2;24;74;
0021;Cristal Float 5 mm Bronce;77.81;M2;24;74;
0022;Cristal Float 5 mm Gris;77.81;M2;24;74;
0023;Cristal Float 5 mm Verde;0.00;M2;24;74;
0024;Cristal Float 6 mm Bronce;97.65;M2;24;74;
0025;Cristal Float 6 mm Gris;97.65;M2;24;74;
0026;Cristal Float 6 mm Verde;0.00;M2;24;74;
0027;Cristal Float 8 mm Bronce;134.12;M2;24;74;
0028;Cristal Float 8 mm Gris;134.12;M2;24;74;
0029;Cristal Float 10 mm Bronce;157.77;M2;24;74;
0030;Cristal Float 10 mm Gris;157.77;M2;24;74;
0031;Cristal Float 10 mm Verde;0.00;M2;24;74;
0032;Cristal Float Super Tint 6 mm Supergrey;0.00;M2;24;78;
0033;Cristal Float Super Tint 6 mm Evergreen;0.00;M2;24;78;
0034;Cristal Float Super Tint 6 mm Artic Blue;0.00;M2;24;78;
0035;Cristal Reflectante Stop Sol 4 mm Bronce;97.29;M2;24;76;
0036;Cristal Reflectante Stop Sol 4 mm Gris;97.29;M2;24;76;
0037;Cristal Reflectante Stop Sol 5 mm Bronce;123.85;M2;24;76;
0038;Cristal Reflectante Stop Sol 5 mm Gris;123.85;M2;24;76;
0039;Cristal Reflectante Stop Sol 6 mm Bronce;139.00;M2;24;76;
0040;Cristal Reflectante Stop Sol 6 mm Gris;139.00;M2;24;76;
0041;Cristal Reflectante Solarcool 4 mm Bronce;0.00;M2;24;76;
0042;Cristal Reflectante Solarcool 4 mm Gris;0.00;M2;24;76;
0043;Cristal Reflectante Solarcool 6 mm Bronce;0.00;M2;24;76;
0044;Cristal Reflectante Solarcool 6 mm Gris;0.00;M2;24;76;
0045;Cristal Reflectante Eclipse 6 mm Clear;0.00;M2;24;76;
0046;Cristal Reflectante Eclipse 6 mm Grey;0.00;M2;24;76;
0047;Cristal Reflectante Eclipse 6 mm Bronze;0.00;M2;24;76;
0048;Cristal Reflectante Eclipse 6 mm Artic Blue;0.00;M2;24;76;
0049;Cristal Reflectante Eclipse 6 mm Blue Green;0.00;M2;24;76;
0050;Cristal Reflectante Eclipse 6 mm Evergreen;0.00;M2;24;76;
0051;Espejo Mirage 2 mm Incoloro;60.53;M2;7;17;
0052;Espejo Mirage 3 mm Incoloro;67.71;M2;7;17;
0053;Espejo Mirage 4 mm Incoloro;84.66;M2;7;17;
0054;Espejo Mirage 5 mm Incoloro;99.32;M2;7;17;
0055;Espejo Mirage 6 mm Incoloro;113.99;M2;7;17;
0056;Espejo Mirage 8 mm Incoloro;0.00;M2;7;17;
0057;Espejo Mirage 10 mm Incoloro;0.00;M2;7;17;
0058;Espejo Optimirror 4 mm Incoloro;0.00;M2;7;19;
0059;Espejo Optimirror 6 mm Incoloro;0.00;M2;7;19;
0060;Espejo Mirropane 6 mm Vigilancia;0.00;M2;7;19;
0061;Espejo Mirage 4 mm Bronce;113.35;M2;7;16;
0062;Espejo Mirage 4 mm Gris;113.35;M2;7;16;
0063;Espejo Mirage 5 mm Bronce;131.58;M2;7;16;
0064;Espejo Mirage 5 mm Gris;131.58;M2;7;16;
0065;Espejo Mirage 6 mm Bronce;157.62;M2;7;16;
0066;Espejo Mirage 6 mm Gris;157.62;M2;7;16;
0067;Espejo Mirage 8 mm Bronce;0.00;M2;7;16;
0068;Espejo Mirage 8 mm Gris;0.00;M2;7;16;
0069;Espejo Mirage 10 mm Bronce;0.00;M2;7;16;
0070;Espejo Mirage 10 mm Gris;0.00;M2;7;16;
0071;Espejo Parabolico 300 mm STD c/ Brazo;0.00;Unidad;7;7;
0072;Espejo Parabolico 400 mm STD c/ Brazo;0.00;Unidad;7;7;
0073;Espejo Parabolico 500 mm STD c/ Brazo;0.00;Unidad;7;7;
0074;Espejo Parabolico 600 mm STD c/ Brazo;0.00;Unidad;7;7;
0075;Espejo Parabolico 700 mm STD c/ Brazo;0.00;Unidad;7;7;
0076;Espejo Parabolico 800 mm STD c/ Brazo;0.00;Unidad;7;7;
0077;Espejo Parabolico 900 mm STD c/ Brazo;0.00;Unidad;7;7;
0078;Espejo Parabolico 300 mm Inastillable c/ Brazo;0.00;Unidad;7;7;
0079;Espejo Parabolico 400 mm Inastillable c/ Brazo;0.00;Unidad;7;7;
0080;Espejo Parabolico 500 mm Inastillable c/ Brazo;0.00;Unidad;7;7;
0081;Espejo Parabolico 600 mm Inastillable c/ Brazo;0.00;Unidad;7;7;
0082;Espejo Parabolico 700 mm Inastillable c/ Brazo;0.00;Unidad;7;7;
0083;Espejo Parabolico 800 mm Inastillable c/ Brazo;0.00;Unidad;7;7;
0084;Espejo Parabolico 900 mm Inastillable c/ Brazo;0.00;Unidad;7;7;
0085;Columna para espejo parabolico 3m Color Blanco;0.00;Unidad;2;7;
0086;Fantasia Difuso 2 mm;61.19;M2;26;84;
0087;Fantasia Austral 4 mm;42.19;M2;26;84;
0088;Fantasia Martelet 4 mm;42.19;M2;26;84;
0089;Fantasia Stipolite 4 mm;42.19;M2;26;84;
0090;Fantasia Acanalado 4 mm;49.12;M2;26;84;
0091;Fantasia Pacific 4 mm;49.12;M2;26;84;
0092;Fantasia Sycamore 4 mm;49.12;M2;26;84;
0093;Fantasia Martelet 5 mm;56.94;M2;26;84;
0094;Fantasia Rayado 5 mm;71.42;M2;26;84;
0095;Fantasia Martelet 6 mm;0.00;M2;26;84;
0096;Fantasia Armado 6 mm;97.65;M2;26;84;
0097;Fantasia Stipolite 8 mm;0.00;M2;26;84;
0098;Fantasia Stipolite 10 mm;0.00;M2;26;84;
0099;Mateado Liso 4 mm Incoloro;134.44;M2;26;86;
0100;Mateado Beta 4 mm Incoloro;242.82;M2;26;86;
0101;Mateado Colonial 4 mm Incoloro;242.82;M2;26;86;
0102;Mateado Liso 4 mm Color;164.28;M2;26;85;
0103;Mateado Beta 4 mm Color;278.22;M2;26;85;
0104;Mateado Colonial 4 mm Color;278.22;M2;26;85;
0105;Opacid Esmerilado 4 mm Incoloro;136.45;M2;26;87;
0106;Opacid Esmerilado 6 mm Incoloro;167.01;M2;26;87;
0107;Opacid Esmerilado 8 mm Incoloro;173.98;M2;26;87;
0108;Opacid Esmerilado 10 mm Incoloro;193.08;M2;26;87;
0109;Profilit 6 mm Incoloro;0.00;M.L.;26;88;
0110;Profilit 6 mm Color;0.00;M.L.;26;88;
0111;Fantasia Martelet 4 mm Ambar;74.79;M2;26;83;
0112;Fantasia Martelet 4 mm Verde;74.79;M2;26;83;
0113;Fantasia Martelet 4 mm Azul;74.79;M2;26;83;
0114;Fantasia Stipolite 4 mm Bronce;82.56;M2;26;83;
0115;Cristal Float 3 mm Esmerilado;0.00;M2;26;82;
0116;Cristal Float 4 mm Esmerilado;0.00;M2;26;82;
0117;Cristal Float 5 mm Esmerilado;0.00;M2;26;82;
0118;Cristal Float 6 mm Esmerilado;0.00;M2;26;82;
0119;Cristal Float 8 mm Esmerilado;0.00;M2;26;82;
0120;Cristal Float 10 mm Esmerilado;0.00;M2;26;82;
0121;Cristal Float 12 mm Esmerilado;0.00;M2;26;82;
0122;Cristal Float 15 mm Esmerilado;0.00;M2;26;82;
0123;Cristal Float 19 mm Esmerilado;0.00;M2;26;82;
0124;Cristal Float 3 mm Bronce Esmerilado;0.00;M2;26;81;
0125;Cristal Float 3 mm Gris Esmerilado;0.00;M2;26;81;
0126;Cristal Float 4 mm Bronce Esmerilado;0.00;M2;26;81;
0127;Cristal Float 4 mm Gris Esmerilado;0.00;M2;26;81;
0128;Cristal Float 4 mm Verde Esmerilado;0.00;M2;26;81;
0129;Cristal Float 5 mm Bronce Esmerilado;0.00;M2;26;81;
0130;Cristal Float 5 mm Gris Esmerilado;0.00;M2;26;81;
0131;Cristal Float 5 mm Verde Esmerilado;0.00;M2;26;81;
0132;Cristal Float 6 mm Bronce Esmerilado;0.00;M2;26;81;
0133;Cristal Float 6 mm Gris Esmerilado;0.00;M2;26;81;
0134;Cristal Float 6 mm Verde Esmerilado;0.00;M2;26;81;
0135;Cristal Float 8 mm Bronce Esmerilado;0.00;M2;26;81;
0136;Cristal Float 8 mm Gris Esmerilado;0.00;M2;26;81;
0137;Cristal Float 10 mm Bronce Esmerilado;0.00;M2;26;81;
0138;Cristal Float 10 mm Gris Esmerilado;0.00;M2;26;81;
0139;Cristal Float 10 mm Verde Esmerilado;0.00;M2;26;81;
0140;Coverglass Negro 5 mm;150.82;M2;25;79;
0141;Coverglass Blanco 5 mm;150.82;M2;25;79;
0142;Coverglass Celeste 5 mm;150.82;M2;25;79;
0143;Coverglass Bordeaux 5 mm;154.22;M2;25;79;
0144;Coverglass Negro 10 mm;221.00;M2;25;79;
0145;Coverglass Blanco 10 mm;221.00;M2;25;79;
0146;Coverglass Negro Satin 5 mm;173.45;M2;25;79;
0147;Coverglass Blanco Satin 5 mm;173.45;M2;25;79;
0148;Coverglass Celeste Satin 5 mm;173.45;M2;25;79;
0149;Coverglass Bordeaux Satin 5 mm;177.36;M2;25;79;
0150;Coverglass Incoloro Mist 5 mm;190.79;M2;25;79;
0151;Coverglass Gris Mist 5 mm;209.86;M2;25;79;
0152;Coverglass Bronce Mist 5 mm;209.86;M2;25;79;
0153;Decorview Incoloro 4 mm;84.54;M2;25;80;
0154;Decorview Incoloro Mist 4 mm;162.18;M2;25;80;
0155;Laminado 3+3 Incoloro;137.97;M2;27;91;
0156;Laminado 4+4 Incoloro;166.08;M2;27;91;
0157;Laminado 5+5 Incoloro;194.02;M2;27;91;
0158;Laminado 6+6 Incoloro;220.92;M2;27;91;
0159;Laminado 8+8 Incoloro;0.00;M2;27;91;
0160;Laminado 10+10 Incoloro;0.00;M2;27;91;
0161;Laminado 3+3 Bronce Claro;171.77;M2;27;89;
0162;Laminado 3+3 Gris Claro;171.77;M2;27;89;
0163;Laminado 3+3 Bronce Oscuro;187.78;M2;27;89;
0164;Laminado 3+3 Gris Oscuro;187.78;M2;27;89;
0165;Laminado 3+3 Opalino;237.41;M2;27;89;
0166;Laminado 3+3 Gris Arquitectura;292.17;M2;27;89;
0167;Laminado 3+3 Esmerilado;237.41;M2;27;89;
0168;Laminado 4+4 Bronce Claro;194.94;M2;27;89;
0169;Laminado 4+4 Gris Claro;194.94;M2;27;89;
0170;Laminado 4+4 Verde Claro;0.00;M2;27;89;
0171;Laminado 4+4 Bronce Oscuro;223.28;M2;27;89;
0172;Laminado 4+4 Gris Oscuro;223.28;M2;27;89;
0173;Laminado 4+4 Verde Oscuro;0.00;M2;27;89;
0174;Laminado 4+4 Opalino;278.26;M2;27;89;
