Codigo,Denominacion,Costo,umcompra,CategoriaId,descripcion
1,Cristal Float 2 mm Incoloro,29.8800,M2,2,
2,Cristal Float 3 mm Incoloro,29.8800,M2,2,
3,Cristal Float 4 mm Incoloro,38.1300,M2,2,
4,Cristal Float 5 mm Incoloro,49.4700,M2,2,
5,Cristal Float 6 mm Incoloro,75.0695,M2,2,
6,Cristal Float 8 mm Incoloro,118.3730,M2,2,
7,Cristal Float 10 mm Incoloro,128.0128,M2,2,
8,Cristal Float 12 mm Incoloro,0.0000,M2,2,
9,Cristal Float 15 mm Incoloro,315.7733,M2,2,
10,Cristal Float 19 mm Incoloro,737.5256,M2,2,
11,"Cristal Float Solar-E 2,5 mm Incoloro",0.0000,M2,3,
12,Cristal Float Solar-E 3 mm Incoloro,0.0000,M2,3,
13,Cristal Float Solar-E 4 mm Incoloro,0.0000,M2,3,
14,Cristal Float Solar-E 5 mm Incoloro,0.0000,M2,3,
15,Cristal Float Solar-E 6 mm Incoloro,0.0000,M2,3,
16,Cristal Float 3 mm Bronce,49.7320,M2,4,
17,Cristal Float 3 mm Gris,49.7320,M2,4,
18,Cristal Float 4 mm Bronce,62.9796,M2,4,
19,Cristal Float 4 mm Gris,62.9796,M2,4,
20,Cristal Float 4 mm Verde,0.0000,M2,4,
21,Cristal Float 5 mm Bronce,77.8115,M2,4,
22,Cristal Float 5 mm Gris,77.8115,M2,4,
23,Cristal Float 5 mm Verde,0.0000,M2,4,
24,Cristal Float 6 mm Bronce,97.6549,M2,4,
25,Cristal Float 6 mm Gris,97.6549,M2,4,
26,Cristal Float 6 mm Verde,0.0000,M2,4,
27,Cristal Float 8 mm Bronce,134.1167,M2,4,
28,Cristal Float 8 mm Gris,134.1167,M2,4,
29,Cristal Float 10 mm Bronce,157.7692,M2,4,
30,Cristal Float 10 mm Gris,157.7692,M2,4,
31,Cristal Float 10 mm Verde,0.0000,M2,4,
32,Cristal Float Super Tint 6 mm Supergrey,0.0000,M2,5,
33,Cristal Float Super Tint 6 mm Evergreen,0.0000,M2,5,
34,Cristal Float Super Tint 6 mm Artic Blue,0.0000,M2,5,
35,Cristal Reflectante Stop Sol 4 mm Bronce,97.2938,M2,6,
36,Cristal Reflectante Stop Sol 4 mm Gris,97.2938,M2,6,
37,Cristal Reflectante Stop Sol 5 mm Bronce,123.8472,M2,6,
38,Cristal Reflectante Stop Sol 5 mm Gris,123.8472,M2,6,
39,Cristal Reflectante Stop Sol 6 mm Bronce,138.9985,M2,6,
40,Cristal Reflectante Stop Sol 6 mm Gris,138.9985,M2,6,
41,Cristal Reflectante Solarcool 4 mm Bronce,0.0000,M2,6,
42,Cristal Reflectante Solarcool 4 mm Gris,0.0000,M2,6,
43,Cristal Reflectante Solarcool 6 mm Bronce,0.0000,M2,6,
44,Cristal Reflectante Solarcool 6 mm Gris,0.0000,M2,6,
45,Cristal Reflectante Eclipse 6 mm Clear,0.0000,M2,6,
46,Cristal Reflectante Eclipse 6 mm Grey,0.0000,M2,6,
47,Cristal Reflectante Eclipse 6 mm Bronze,0.0000,M2,6,
48,Cristal Reflectante Eclipse 6 mm Artic Blue,0.0000,M2,6,
49,Cristal Reflectante Eclipse 6 mm Blue Green,0.0000,M2,6,
50,Cristal Reflectante Eclipse 6 mm Evergreen,0.0000,M2,6,
51,Espejo Mirage 2 mm Incoloro,60.5258,M2,7,
52,Espejo Mirage 3 mm Incoloro,67.7119,M2,7,
53,Espejo Mirage 4 mm Incoloro,84.6627,M2,7,
54,Espejo Mirage 5 mm Incoloro,99.3214,M2,7,
55,Espejo Mirage 6 mm Incoloro,113.9916,M2,7,
56,Espejo Mirage 8 mm Incoloro,0.0000,M2,7,
57,Espejo Mirage 10 mm Incoloro,0.0000,M2,7,
58,Espejo Optimirror 4 mm Incoloro,0.0000,M2,8,
59,Espejo Optimirror 6 mm Incoloro,0.0000,M2,8,
60,Espejo Mirropane 6 mm Vigilancia,0.0000,M2,8,
61,Espejo Mirage 4 mm Bronce,113.3497,M2,9,
